date,weekday,champion,lane,role,kills,deaths,assists,kda,gold,damage,cs,vision,game_duration,cs_per_min,gold_per_min,damage_per_min,win
2026-03-14 20:13:53.106,Saturday,Nautilus,BOTTOM,SUPPORT,2,5,24,5.2,10340,13613,37,76,2027,1.0952146028613716,306.06808090774547,402.95017266896895,0
2026-03-14 19:27:15.432,Saturday,Annie,BOTTOM,DUO,4,6,12,2.6666666666666665,10360,29954,146,37,2039,4.296223639038744,304.85532123589996,881.4320745463463,0
2026-03-14 18:45:23.590,Saturday,Malzahar,MIDDLE,SOLO,9,3,6,5.0,15983,43805,261,35,2055,7.62043795620438,466.6569343065693,1278.978102189781,1
2026-02-28 20:19:17.404,Saturday,Mel,NONE,SUPPORT,0,3,0,0.0,4642,3502,117,8,911,7.705817782656421,305.7299670691548,230.6476399560922,0
2026-02-28 19:43:36.541,Saturday,Smolder,BOTTOM,CARRY,12,3,8,6.666666666666667,14279,18404,202,33,1744,6.9495412844036695,491.25,633.1651376146789,1
2026-02-28 18:59:09.325,Saturday,Malzahar,MIDDLE,SOLO,5,5,9,2.8,16407,36309,313,41,2282,8.229623137598598,431.3847502191061,954.6625766871166,0
2026-02-28 18:29:10.136,Saturday,Malzahar,MIDDLE,SOLO,4,4,1,1.25,9737,15830,202,18,1409,8.601845280340667,414.6344925479063,674.0951029098651,0
2026-02-14 20:02:01.337,Saturday,Malzahar,MIDDLE,SOLO,9,1,13,22.0,12125,21158,186,24,1496,7.459893048128342,486.2967914438503,848.5828877005348,1
2026-02-14 19:25:50.358,Saturday,Corki,BOTTOM,CARRY,1,4,3,1.0,10028,8722,231,27,1724,8.039443155452435,349.00232018561485,303.54988399071925,0
2026-02-14 18:52:51.585,Saturday,Gnar,JUNGLE,NONE,2,3,8,3.3333333333333335,9348,15315,146,29,1645,5.325227963525836,340.96048632218844,558.6018237082067,1
2025-06-12 06:52:38.611,Thursday,Yorick,MIDDLE,DUO,5,0,4,9.0,12966,12200,207,21,1683,7.379679144385027,462.24598930481284,434.93761140819964,1
2025-06-11 01:01:34.536,Wednesday,Yorick,TOP,SOLO,3,2,5,4.0,11091,19844,156,24,1659,5.641952983725136,401.121157323689,717.6853526220615,1
2025-06-10 21:53:33.570,Tuesday,Sejuani,JUNGLE,NONE,8,8,14,2.75,19850,28848,70,31,2901,1.4477766287487073,410.5480868665977,596.6494312306102,1
2025-06-10 21:18:48.085,Tuesday,Yorick,TOP,SOLO,2,1,3,5.0,9388,11684,202,27,1590,7.622641509433962,354.2641509433962,440.9056603773585,0
2025-06-10 03:48:58.202,Tuesday,Yorick,JUNGLE,NONE,12,4,9,5.25,23725,37889,139,51,2997,2.7827827827827827,474.97497497497494,758.5385385385385,1
2025-05-30 07:07:47.327,Friday,Nami,BOTTOM,SUPPORT,0,8,22,2.75,9776,14357,32,89,2200,0.8727272727272728,266.6181818181818,391.55454545454546,1
2025-05-30 05:34:03.152,Friday,Yorick,JUNGLE,NONE,7,5,13,4.0,22733,53132,151,23,2812,3.2219061166429586,485.0568990042674,1133.6842105263158,1
2025-05-30 04:56:30.041,Friday,Senna,BOTTOM,SUPPORT,2,6,16,3.0,11668,17255,89,51,1793,2.978248745119911,390.45175683212494,577.4121583937535,1
2025-05-30 03:56:12.432,Friday,Yorick,JUNGLE,NONE,6,7,19,3.5714285714285716,20408,48779,132,52,2736,2.8947368421052633,447.5438596491228,1069.7149122807018,1
2025-05-30 03:16:31.034,Friday,Blitzcrank,BOTTOM,SUPPORT,2,5,21,4.6,9645,11376,33,71,1876,1.0554371002132197,308.47547974413646,363.8379530916844,1
2025-05-15 04:14:41.143,Thursday,Yorick,TOP,SOLO,7,6,5,2.0,16914,23628,267,39,2309,6.938068427890862,439.5149415331312,613.980077955825,0
2025-05-15 01:14:26.412,Thursday,Yorick,TOP,SOLO,7,4,10,4.25,14710,22201,199,17,1929,6.189735614307932,457.54276827371694,690.5443234836704,1
2025-05-14 04:49:24.867,Wednesday,Gnar,TOP,SOLO,3,1,6,9.0,11736,22829,199,29,1790,6.670391061452515,393.3854748603352,765.2178770949721,0
2025-05-14 04:40:35.213,Wednesday,Yorick,NONE,SUPPORT,0,0,0,0.0,515,0,0,0,107,0.0,288.78504672897196,0.0,0
2025-05-14 03:17:32.834,Wednesday,Trundle,TOP,SOLO,6,1,3,9.0,12474,17991,158,21,1521,6.232741617357002,492.0710059171597,709.7041420118343,1
2025-05-11 17:31:07.106,Sunday,Yorick,TOP,SOLO,4,4,4,2.0,12479,17421,176,29,1819,5.805387575590984,411.62177020340846,574.634414513469,1
2025-05-11 03:51:26.087,Sunday,Udyr,JUNGLE,NONE,3,4,14,4.25,11101,15191,38,20,1749,1.3036020583190395,380.82332761578044,521.1320754716982,0
2025-05-10 06:55:55.369,Saturday,KogMaw,MIDDLE,DUO,1,7,15,2.2857142857142856,10134,21738,157,26,1994,4.724172517552658,304.9348044132397,654.1023069207623,1
2025-05-09 16:39:22.490,Friday,Yorick,MIDDLE,DUO,5,4,9,3.5,13946,32775,201,19,1945,6.200514138817481,430.2107969151671,1011.0539845758356,1
2025-05-09 16:19:58.569,Friday,KogMaw,NONE,SUPPORT,0,0,0,0.0,625,408,4,0,126,1.9047619047619047,297.6190476190476,194.28571428571428,1
2025-05-04 08:50:59.996,Sunday,Yorick,MIDDLE,SOLO,4,3,11,5.0,9079,21032,132,29,1450,5.462068965517241,375.68275862068964,870.2896551724137,1
2025-05-04 07:09:13.916,Sunday,Yorick,TOP,SOLO,4,6,6,1.6666666666666667,15851,27628,229,43,2496,5.5048076923076925,381.0336538461538,664.1346153846154,1
2025-05-02 07:19:24.797,Friday,Yorick,MIDDLE,DUO,4,6,8,2.0,13111,24763,191,25,1906,6.012591815320042,412.7282266526758,779.5278069254985,1
2025-05-02 06:40:43.787,Friday,Yorick,TOP,SOLO,2,11,5,0.6363636363636364,8541,18273,149,13,1673,5.343693962940825,306.31201434548717,655.3377166766288,0
2025-05-02 05:55:09.597,Friday,Yorick,JUNGLE,NONE,8,2,13,10.5,19017,31468,93,29,2157,2.58692628650904,528.9847009735744,875.326842837274,1
2025-05-02 04:55:29.605,Friday,Yorick,TOP,SOLO,5,9,19,2.6666666666666665,17396,46445,243,31,2350,6.2042553191489365,444.15319148936175,1185.8297872340427,1
2025-05-02 00:39:18.413,Friday,Yorick,JUNGLE,NONE,6,1,14,20.0,12948,23716,36,19,1577,1.3696892834495877,492.6315789473684,902.3208623969562,1
2025-05-01 23:52:28.071,Thursday,Yorick,NONE,SUPPORT,3,1,3,6.0,7343,13314,135,13,1186,6.829679595278247,371.4839797639123,673.558178752108,1
2025-05-01 21:14:18.370,Thursday,Trundle,TOP,DUO,6,13,14,1.5384615384615385,17620,41463,211,31,2823,4.484590860786398,374.4952178533475,881.2539851222105,0
2025-05-01 17:12:03.441,Thursday,Ashe,JUNGLE,NONE,5,0,11,16.0,11651,14042,167,26,1705,5.87683284457478,410.0058651026393,494.1466275659824,1
2025-05-01 07:40:09.660,Thursday,Smolder,BOTTOM,CARRY,3,9,4,0.7777777777777778,11071,24643,198,33,2086,5.695110258868648,318.4372003835091,708.811121764142,0
2025-04-26 07:20:02.072,Saturday,Mel,NONE,SUPPORT,6,4,5,2.75,7223,8739,51,30,1135,2.6960352422907485,381.8325991189427,461.9735682819383,1
2025-04-26 06:39:08.776,Saturday,Quinn,BOTTOM,CARRY,5,9,8,1.4444444444444444,11608,20921,151,26,2045,4.430317848410757,340.5770171149144,613.8190709046454,0
2025-04-26 05:25:39.148,Saturday,Nami,BOTTOM,SUPPORT,4,5,6,2.0,8441,8907,27,47,1838,0.8813928182807399,275.54951033732317,290.76169749727967,1
2025-04-26 03:30:47.723,Saturday,Yorick,JUNGLE,NONE,10,2,5,7.5,13754,30486,65,26,1746,2.2336769759450172,472.6460481099656,1047.6288659793813,1
2025-04-26 03:20:56.466,Saturday,Quinn,NONE,SUPPORT,0,0,0,0.0,762,0,8,0,159,3.018867924528302,287.54716981132077,0.0,1
2025-04-26 01:45:20.979,Saturday,Nami,BOTTOM,SUPPORT,1,2,18,9.5,8529,11255,24,45,1756,0.8200455580865604,291.4236902050114,384.5671981776766,1
2025-04-26 00:38:57.065,Saturday,Yorick,JUNGLE,NONE,9,1,3,12.0,12905,19867,57,22,1687,2.027267338470658,458.9804386484884,706.5915826911678,1
2025-04-26 00:05:05.856,Saturday,Poppy,MIDDLE,SUPPORT,3,9,5,0.8888888888888888,8697,9663,75,44,1740,2.586206896551724,299.8965517241379,333.2068965517241,0
2025-04-25 07:01:55.126,Friday,Yorick,JUNGLE,NONE,9,3,8,5.666666666666667,13973,28408,61,26,1832,1.9978165938864627,457.6310043668122,930.3930131004366,1
2025-04-24 20:02:53.476,Thursday,Yorick,JUNGLE,NONE,3,1,6,9.0,12887,13052,53,17,1757,1.8099032441661922,440.0796812749004,445.71428571428567,1
2025-04-24 07:41:50.245,Thursday,DrMundo,JUNGLE,NONE,4,5,14,3.6,15000,34039,50,32,2505,1.1976047904191616,359.2814371257485,815.3053892215569,1
2025-04-24 05:34:39.256,Thursday,Yorick,JUNGLE,NONE,10,7,12,3.142857142857143,17382,39239,121,62,2579,2.815044590926716,404.3892981775882,912.888716556805,0
2025-04-24 04:14:36.918,Thursday,Yorick,NONE,SUPPORT,0,3,0,0.0,4267,3588,6,11,912,0.39473684210526316,280.7236842105263,236.05263157894737,0
2025-04-24 01:20:59.962,Thursday,Yorick,JUNGLE,NONE,8,0,10,18.0,13252,18862,84,18,1628,3.095823095823096,488.4029484029484,695.1597051597051,1
2025-04-22 02:05:39.612,Tuesday,Yorick,JUNGLE,NONE,11,5,13,4.8,17659,32324,82,26,2327,2.114310270734852,455.32445208422865,833.4507950150409,1
2025-04-22 01:31:48.334,Tuesday,Mel,TOP,SUPPORT,4,3,2,2.0,9080,12724,110,53,1646,4.0097205346294045,330.9842041312272,463.8153098420413,0
2025-04-22 00:04:47.964,Tuesday,Nami,BOTTOM,SUPPORT,2,5,18,4.0,10155,16096,43,78,2256,1.1436170212765957,270.07978723404256,428.0851063829787,1
2025-04-21 23:38:48.988,Monday,Yorick,JUNGLE,NONE,4,3,2,2.0,8347,10977,30,14,1216,1.480263157894737,411.85855263157896,541.6282894736843,0
2025-04-21 20:52:12.854,Monday,Lux,BOTTOM,SUPPORT,2,11,13,1.3636363636363635,12393,22740,118,97,2470,2.866396761133603,301.0445344129555,552.3886639676114,1
2025-04-21 20:14:13.569,Monday,Smolder,BOTTOM,CARRY,4,8,4,1.0,10709,23066,162,13,1667,5.830833833233353,385.4469106178764,830.2099580083983,0
2025-04-21 06:13:18.308,Monday,Karma,BOTTOM,SUPPORT,7,5,22,5.8,13800,29504,63,97,2544,1.4858490566037736,325.47169811320754,695.8490566037736,0
2025-04-21 02:57:30.701,Monday,Skarner,NONE,SUPPORT,1,6,3,0.6666666666666666,5735,5207,8,10,1190,0.40336134453781514,289.15966386554624,262.5378151260504,0
2025-04-21 02:12:43.104,Monday,Maokai,BOTTOM,SUPPORT,1,3,22,7.666666666666667,9716,22254,51,52,2137,1.4319138979878334,272.79363593823115,624.8198408984558,1
2025-04-19 07:34:52.492,Saturday,Rakan,BOTTOM,SUPPORT,4,2,16,10.0,9361,5418,43,52,1663,1.551413108839447,337.7390258568852,195.4780517137703,1
2025-04-17 23:58:20.300,Thursday,Teemo,NONE,SUPPORT,1,3,6,2.3333333333333335,4828,9616,79,14,1088,4.356617647058823,266.25,530.2941176470588,1
2025-04-17 21:46:31.250,Thursday,Trundle,TOP,SOLO,6,1,4,10.0,12936,16376,176,20,1736,6.082949308755761,447.09677419354836,565.9907834101382,1
2025-04-17 21:03:25.929,Thursday,Quinn,TOP,SOLO,5,7,6,1.5714285714285714,10742,21683,134,24,2003,4.013979031452821,321.7773339990015,649.5157264103844,0
2025-04-17 20:26:44.176,Thursday,Quinn,MIDDLE,DUO,5,7,10,2.142857142857143,11244,27501,143,21,1819,4.716877405167675,370.8851017042331,907.1247938427707,0
2025-04-17 06:13:16.444,Thursday,Trundle,JUNGLE,NONE,18,5,12,6.0,19587,38427,69,23,2307,1.7945383615084525,509.4148244473342,999.4018205461638,1
2025-04-17 04:04:26.354,Thursday,Trundle,TOP,SOLO,3,15,10,0.8666666666666667,14480,25035,211,25,2226,5.68733153638814,390.2964959568733,674.7978436657681,0
2025-04-17 03:06:21.131,Thursday,Naafiri,JUNGLE,NONE,11,6,15,4.333333333333333,16471,28108,43,33,2305,1.119305856832972,428.74620390455533,731.6616052060738,1
2025-04-15 00:56:34.985,Tuesday,Trundle,JUNGLE,NONE,12,14,14,1.8571428571428572,19651,46450,208,63,2765,4.513562386980109,426.42314647377935,1007.9566003616636,0
2025-04-15 00:27:05.403,Tuesday,Amumu,NONE,SUPPORT,1,6,4,0.8333333333333334,6590,6878,20,15,1188,1.0101010101010102,332.8282828282828,347.37373737373736,0
2025-04-15 00:01:38.453,Tuesday,Sejuani,NONE,SUPPORT,2,4,2,1.0,5399,4430,21,6,926,1.3606911447084233,349.8272138228942,287.04103671706264,0
2025-04-14 23:13:39.614,Monday,Udyr,JUNGLE,NONE,2,14,12,1.0,11276,22232,48,14,2107,1.36687233032748,321.10109159943045,633.0897009966777,0
2025-04-14 22:11:56.172,Monday,Sejuani,JUNGLE,NONE,6,6,24,5.0,16844,28636,79,35,2482,1.9097502014504433,407.187751813054,692.2481869460113,1
2025-04-13 07:01:42.161,Sunday,Gnar,TOP,SOLO,1,6,7,1.3333333333333333,9109,17448,129,18,1767,4.380305602716469,309.3039049235993,592.4617996604414,1
2025-04-13 06:37:21.255,Sunday,Quinn,NONE,SUPPORT,6,2,3,4.5,6898,16529,82,11,1003,4.905284147557328,412.64207377866404,988.7736789631108,1
2025-04-13 06:12:22.027,Sunday,Naafiri,NONE,SUPPORT,3,3,2,1.6666666666666667,5407,7140,13,9,940,0.8297872340425532,345.1276595744681,455.74468085106383,0
2025-04-12 07:01:20.466,Saturday,Naafiri,JUNGLE,NONE,9,8,17,3.25,17729,44898,65,28,2517,1.5494636471990464,422.62216924910604,1070.274135876043,1
2025-04-11 22:47:39.452,Friday,MasterYi,JUNGLE,NONE,20,12,12,2.6666666666666665,26806,52021,122,36,3100,2.361290322580645,518.825806451613,1006.858064516129,0
2025-04-11 06:54:14.443,Friday,Trundle,TOP,SOLO,13,5,13,5.2,18591,32809,195,21,2034,5.7522123893805315,548.4070796460177,967.8171091445428,1
2025-04-11 05:32:25.776,Friday,Trundle,TOP,SOLO,11,2,5,8.0,15466,29614,184,45,2110,5.2322274881516595,439.7914691943128,842.1042654028437,1
2025-04-11 04:53:01.999,Friday,MasterYi,JUNGLE,NONE,4,12,6,0.8333333333333334,10873,18187,32,21,1765,1.0878186968838526,369.62039660056655,618.2549575070822,0
2025-04-11 04:01:01.600,Friday,FiddleSticks,JUNGLE,NONE,6,5,13,3.8,14068,23218,44,67,1881,1.4035087719298245,448.7400318979266,740.6060606060606,1
2025-04-11 01:56:31.388,Friday,Trundle,TOP,SOLO,6,8,4,1.25,14174,29853,166,47,1989,5.007541478129713,427.5716440422323,900.5429864253394,1
2025-04-11 01:45:03.714,Friday,Trundle,NONE,SUPPORT,0,0,0,0.0,546,0,1,0,112,0.5357142857142857,292.5,0.0,1
2025-04-10 23:43:36.604,Thursday,Trundle,TOP,SOLO,12,12,11,1.9166666666666667,17527,47679,217,19,2346,5.549872122762148,448.2608695652174,1219.4117647058822,0
2025-04-10 23:18:36.849,Thursday,Nami,NONE,SUPPORT,2,1,4,6.0,3475,2490,6,10,660,0.5454545454545454,315.90909090909093,226.36363636363637,0
2025-04-10 22:17:03.246,Thursday,Garen,TOP,SUPPORT,8,12,13,1.75,14497,38119,53,35,2397,1.3266583229036295,362.87859824780975,954.1677096370462,0
2025-04-09 16:33:51.441,Wednesday,Garen,JUNGLE,NONE,4,0,4,8.0,9746,7246,29,19,1578,1.1026615969581748,370.5703422053232,275.51330798479086,1
2025-04-09 15:52:26.847,Wednesday,Garen,TOP,CARRY,6,8,4,1.25,11644,24545,179,20,1835,5.852861035422343,380.7302452316076,802.5613079019074,0
2025-04-08 00:16:25.938,Tuesday,Garen,NONE,SUPPORT,0,1,0,0.0,2200,1835,41,2,508,4.84251968503937,259.84251968503935,216.73228346456693,0
2025-04-07 23:16:56.959,Monday,Garen,JUNGLE,NONE,14,5,7,4.2,19745,30108,62,41,2436,1.5270935960591132,486.33004926108373,741.5763546798029,1
2025-04-07 22:52:25.451,Monday,Karma,NONE,SUPPORT,1,1,12,13.0,5390,6349,32,17,866,2.2170900692840645,373.44110854503464,439.8845265588914,1
2025-04-07 22:22:29.558,Monday,Neeko,NONE,SUPPORT,6,1,6,12.0,6943,6922,32,17,958,2.0041753653444676,434.84342379958247,433.52818371607515,1
2025-04-01 03:20:09.066,Tuesday,Pantheon,JUNGLE,NONE,4,7,11,2.142857142857143,14309,27350,85,29,2330,2.188841201716738,368.4721030042918,704.2918454935622,0
2025-03-31 21:41:54.959,Monday,Pantheon,BOTTOM,SUPPORT,2,3,14,5.333333333333333,9256,15779,49,60,1839,1.598694942903752,301.99021207177816,514.8123980424144,1
2025-03-31 06:03:19.763,Monday,Pantheon,BOTTOM,SUPPORT,2,5,12,2.8,9469,19281,65,65,1798,2.1690767519466077,315.9844271412681,643.4149054505006,1
2025-03-30 07:45:44.611,Sunday,Thresh,BOTTOM,SUPPORT,1,3,14,5.0,11457,13761,74,97,2257,1.9672131147540983,304.5724412937528,365.8218874612317,1
